filename,platform,gameId,gameVersion,patch,mapId,gameLength_s,size_bytes,sha256,n_chunks,zstd_ok
EUW1-7925788041.rofl,EUW1,7925788041,16.14.794.5912,16.14,11,1452.3,11628414,5f3448dffe5ae2d4dfcd425d675ed92d5fe94979cc165841613df25ffc496be1,76,True
EUW1-7925796799.rofl,EUW1,7925796799,16.14.794.5912,16.14,11,2544.1,21457414,106b69a304bce8a00ad93c254dc8bc5ef23cb2ba21db19cb4db808cccbc9a3dd,130,True
EUW1-7925828026.rofl,EUW1,7925828026,16.14.794.5912,16.14,11,947.1,7278261,037b8ddffcd7de2a7a2a803cddc76ef0bb8672706d42185a03c45defe365dff0,50,True
EUW1-7925832070.rofl,EUW1,7925832070,16.14.794.5912,16.14,11,2977.5,24616599,3a9ad26ffae6f3f01e12d6ec7a93c31f48d37f52e1f9f1a0f485c572682c0372,152,True
EUW1-7925854193.rofl,EUW1,7925854193,16.14.794.5912,16.14,11,1208.7,9158582,0d6539756443028c9a640f4688c1e4d252f24a6e6a8c0ba307ae791193b1caba,64,True
EUW1-7925855131.rofl,EUW1,7925855131,16.14.794.5912,16.14,11,2094.5,16808836,0cd0003999abe39ecb89b1de78d797463157733d695149c91c9c9453cc4478af,107,True
EUW1-7925892764.rofl,EUW1,7925892764,16.14.794.5912,16.14,11,2027.3,16452858,bdbdc9508fe0b46569e278be845e24b2c114ac6607f98d08f55c6fba58d44da4,104,True
EUW1-7925924981.rofl,EUW1,7925924981,16.14.794.5912,16.14,11,2092.3,20552087,fc8c960c0434eb8490a13afded7cf790f94a8730dc6321655f2e4782e4f03dae,107,True
EUW1-7925949330.rofl,EUW1,7925949330,16.14.794.5912,16.14,11,2126.3,15166689,f84222d450f40462193c35b5d49c9dbdbd7aefd498ce89f544bc760e35d1de3b,109,True
EUW1-7925955905.rofl,EUW1,7925955905,16.14.794.5912,16.14,11,2012.8,16244401,c097064cca83420d9f77b6814ea4e555ebd93c3e66e514d9592744b21360e370,104,True
EUW1-7925965137.rofl,EUW1,7925965137,16.14.794.5912,16.14,11,918.0,7607101,73f38e502306f30bad9f2f9834c64fbb813378e305173a5703383ed76de13992,49,True
EUW1-7925973212.rofl,EUW1,7925973212,16.14.794.5912,16.14,11,1323.0,10264518,44e3ff0aa975c16e575836a94399dccabf671681821eb071c37dd6e759c333c9,70,True
EUW1-7926024274.rofl,EUW1,7926024274,16.14.794.5912,16.14,11,2506.0,20028798,70bbc6ba8097b02852a68883fd8dde76c5ba25faa40f4353476dbae087523563,128,True
